10	sun01
11	sun02
12	sun03
13	sun04
14	sun05
15	sun06
16	sun07
17	sun08
18	sun09
19	sun10
20	r01
21	r02
22	r03
23	r04
24	r05
26	hp01
30	r10
31	r11
32	r12
33	r13
34	r14
35	r15
36	r16
37	r17
38	r18
39	r19
40	r20
41	r21
42	r22
43	r23
44	r24
45	r25
46	r26
47	r27
48	r28
49	r29
50	r30
51	r31
120	c01
121	c02
122	c03
123	c04
124	c05
125	c06
126	c07
127	c08
128	c09
129	c10
130	c11
131	c12
132	c13
133	c14
134	c15
135	c16
136	c17
137	c18
138	c19
139	c20
140	c21
141	c22
142	c23
143	c24
144	c25
145	c26
146	c27
147	c28
148	c29
149	c30
150	c31
151	c32
152	c33
153	c34
154	c35
155	c36
156	c37
157	c38
158	c39
159	c40
160	c41
161	c42
162	c43
163	c44
164	c45
165	c46
166	c47
167	c48
168	c49
169	c50
170	c51
171	c52
1000g-mc01	1000g-mc01
1000g-mc02	1000g-mc02
1000g-mc03	1000g-mc03
1000g-mc04	1000g-mc04
sardinia-mc01	sardinia-mc01
sardinia-mc02	sardinia-mc02
sardinia-mc03	sardinia-mc03
sardinia-mc04	sardinia-mc04
esp-mc01	esp-mc01
esp-mc02	esp-mc02
esp-mc03	esp-mc03
esp-mc04	esp-mc04
amd-mc01	amd-mc01
amd-mc02	amd-mc02
amd-mc03	amd-mc03
amd-mc04	amd-mc04
psoriasis-mc01	psoriasis-mc01
psoriasis-mc02	psoriasis-mc02
psoriasis-mc03	psoriasis-mc03
psoriasis-mc04	psoriasis-mc04
finnseq-mc01	finnseq-mc01
finnseq-mc02	finnseq-mc02
finnseq-mc03	finnseq-mc03
finnseq-mc04	finnseq-mc04
bipolar-mc01	bipolar-mc01
bipolar-mc02	bipolar-mc02
bipolar-mc03	bipolar-mc03
bipolar-mc04	bipolar-mc04
t2dgenes-mc01	t2dgenes-mc01
t2dgenes-mc02	t2dgenes-mc02
t2dgenes-mc03	t2dgenes-mc03
t2dgenes-mc04	t2dgenes-mc04
twins-mc01	twins-mc01
twins-mc02	twins-mc02
twins-mc03	twins-mc03
twins-mc04	twins-mc04
assembly-mc01	assembly-mc01
assembly-mc02	assembly-mc02
assembly-mc03	assembly-mc03
assembly-mc04	assembly-mc04
got2d-mc01	got2d-mc01
got2d-mc02	got2d-mc02
got2d-mc03	got2d-mc03
got2d-mc04	got2d-mc04
topmed	topmed
(Priority)	(Priority)
(QOSMaxCpusPerUserLimit)	(QOSMaxCpusPerUserLimit)
(Resources)	(Resources)
(None)	(None)
r6306	r6306
r6314	r6314
r6312	r6312
r6309	r6309
r6310	r6310
r6304	r6304
r6303	r6303
r6302	r6302
r6311	r6311
r6315	r6315
r6308	r6308
r6301	r6301
r6313	r6313
r6305	r6305
